SaleId,CustomerId,ProductId,Date,Quantity,NetAmount,Discount
1,C819934,P885016,2023-07-16,5,1289.17,331.03
2,C348136,P045043,2025-02-25,4,3237.63,344.61
3,C497757,P971430,2025-01-25,1,206.86,10.84
4,C185687,P981945,2024-06-17,4,781.66,104.78
5,C099135,P720285,2023-11-27,3,2354.6,439.48
6,C003524,P566556,2024-06-17,2,2044.12,138.2
7,C960979,P817843,2023-07-23,6,2740.21,781.37
8,C931205,P645373,2023-04-26,4,3867.44,726.96
9,C512445,P656411,2023-06-21,5,1968.45,337.0
10,C752217,P841579,2023-01-10,1,664.67,112.97
11,C450811,P992250,2024-12-05,3,1569.16,160.61
12,C013892,P971430,2023-06-11,8,1701.8,39.8
13,C355445,P029248,2025-08-11,1,578.03,8.77
14,C746305,P450984,2024-12-19,2,1817.74,59.04
15,C789728,P302996,2024-07-25,6,827.72,208.72
16,C555454,P357660,2023-01-22,7,2983.49,293.42
17,C092090,P208944,2025-07-09,1,459.07,63.39
18,C555454,P775751,2023-10-29,8,4018.57,200.15
19,C996207,P489519,2023-12-23,6,1061.45,237.91
20,C352547,P420341,2023-06-14,2,8.86,1.36
21,C365319,P891377,2025-04-19,5,2274.63,356.22
22,C229977,P888101,2025-03-05,7,4982.15,1119.05
23,C298363,P162734,2025-03-05,4,321.09,27.99
24,C326321,P021683,2025-04-18,7,5910.41,294.53
25,C678004,P814985,2025-02-23,3,971.1,175.77
26,C341018,P157866,2024-10-18,6,1149.82,32.66
27,C698071,P341596,2023-02-14,3,1146.61,53.6
28,C309883,P842673,2023-04-20,8,5013.43,252.25
29,C309883,P812662,2024-10-19,7,3467.89,682.69
30,C483909,P065667,2023-02-20,6,336.68,19.66
31,C211686,P069861,2023-01-14,4,3131.99,614.13
32,C035403,P196667,2025-03-31,1,1046.05,103.75
33,C593991,P367946,2025-04-21,6,4113.15,1019.07
34,C557055,P826289,2024-06-25,1,636.23,143.06
35,C985574,P079649,2023-08-10,2,1091.29,28.33
36,C260830,P309407,2024-01-30,4,3499.17,177.51
37,C412606,P971430,2024-08-06,3,561.92,91.18
38,C021889,P367946,2025-02-03,2,1383.01,327.73
39,C227397,P496878,2024-11-21,8,1739.93,370.71
40,C486458,P484060,2023-06-20,3,1635.73,260.75
41,C474324,P029248,2024-11-04,3,1525.43,234.97
42,C149191,P885695,2025-08-13,6,4228.94,1232.14
43,C426280,P722265,2025-05-15,6,2522.68,289.94
44,C864678,P207957,2025-04-25,6,5588.18,1002.46
45,C370294,P489519,2023-08-08,7,1225.73,290.19
46,C373573,P065667,2024-01-04,8,421.97,53.15
47,C512170,P888101,2025-01-13,1,657.41,214.19
48,C940255,P208124,2024-06-14,3,2417.18,798.67
49,C588080,P599862,2023-11-04,4,3385.2,192.12
50,C686939,P918103,2025-03-01,5,1461.61,436.04
51,C457719,P883409,2024-08-07,3,1063.42,25.67
52,C967282,P496878,2023-06-09,3,739.06,52.43
53,C413376,P971430,2023-08-27,5,867.79,220.71
